Seed,Task,Model,Popsize,Generations,Mutation_rate,Selection_strength,adaptation_rate,richness,variance
1,103,Equal,2500,10000,0,0.1,0,1,0
1,104,Equal,5000,20000,0,0.1,0,1,0
1,105,Equal,7500,30000,0,0.1,0,1,0
1,106,Equal,10000,40000,0,0.1,0,1,0
1,107,Equal,25000,1e+05,0,0.1,0,1,0
1,108,Equal,50000,2e+05,0,0.1,0,1,0
1,109,Equal,75000,3e+05,0,0.1,0,1,0
1,110,Equal,1e+05,4e+05,0,0.1,0,1,0
1,111,Equal,500,2000,0,0.1,0,1,0
1,112,Equal,1000,4000,0,0.1,0,1,0
1,113,Equal,2500,10000,0,0.1,0,1,0
1,114,Equal,5000,20000,0,0.1,0,1,0
1,115,Equal,7500,30000,0,0.1,0,1,0
1,116,Equal,10000,40000,0,0.1,0,1,0
1,117,Equal,25000,1e+05,0,0.1,0,1,0
1,118,Equal,50000,2e+05,0,0.1,0,1,0
1,119,Equal,75000,3e+05,0,0.1,0,1,0
1,120,Equal,1e+05,4e+05,0,0.1,0,1,0
1,121,Equal,500,2000,0,0.1,0,1,0
1,122,Equal,1000,4000,0,0.1,0,1,0
1,123,Equal,2500,10000,0,0.1,0,1,0
1,124,Equal,5000,20000,0,0.1,0,1,0
1,125,Equal,7500,30000,0,0.1,0,1,0
1,126,Equal,10000,40000,0,0.1,0,1,0
1,127,Equal,25000,1e+05,0,0.1,0,1,0
1,128,Equal,50000,2e+05,0,0.1,0,1,0
1,129,Equal,75000,3e+05,0,0.1,0,1,0
1,130,Equal,1e+05,4e+05,0,0.1,0,1,0
1,131,Equal,500,2000,0,0.1,0,1,0
1,132,Equal,1000,4000,0,0.1,0,1,0
1,133,Equal,2500,10000,0,0.1,0,1,0
1,134,Equal,5000,20000,0,0.1,0,1,0
1,135,Equal,7500,30000,0,0.1,0,1,0
1,136,Equal,10000,40000,0,0.1,0,1,0
1,137,Equal,25000,1e+05,0,0.1,0,1,0
1,138,Equal,50000,2e+05,0,0.1,0,1,0
1,139,Equal,75000,3e+05,0,0.1,0,1,0
1,140,Equal,1e+05,4e+05,0,0.1,0,1,0
1,141,Equal,500,2000,0,0.1,0,1,0
1,142,Equal,1000,4000,0,0.1,0,1,0
1,143,Equal,2500,10000,0,0.1,0,1,0
1,144,Equal,5000,20000,0,0.1,0,1,0
1,145,Equal,7500,30000,0,0.1,0,1,0
1,146,Equal,10000,40000,0,0.1,0,1,0
1,147,Equal,25000,1e+05,0,0.1,0,1,0
1,148,Equal,50000,2e+05,0,0.1,0,1,0
1,149,Equal,75000,3e+05,0,0.1,0,1,0
1,150,Equal,1e+05,4e+05,0,0.1,0,1,0
1,151,Equal,500,2000,0,0.1,0,1,0
1,152,Equal,1000,4000,0,0.1,0,1,0
1,153,Equal,2500,10000,0,0.1,0,1,0
1,154,Equal,5000,20000,0,0.1,0,1,0
1,155,Equal,7500,30000,0,0.1,0,1,0
1,156,Equal,10000,40000,0,0.1,0,1,0
