Mean,Max,Min,Generation,Model
377.03365,397.297,354.408,16000,Equal
378.49545,398.64,355.863,16100,Equal
379.84605,399.971,357.215,16200,Equal
381.3139,401.215,358.155,16300,Equal
382.85895,402.387,359.198,16400,Equal
384.50935,403.75,361.26,16500,Equal
386.07085,405.087,363.429,16600,Equal
387.6241,406.265,365.22,16700,Equal
389.198,407.857,367.397,16800,Equal
390.72195,409.877,368.45,16900,Equal
392.24305,411.547,369.089,17000,Equal
393.6316,413.569,369.878,17100,Equal
394.9701,415.026,370.548,17200,Equal
396.32775,416.745,372.08,17300,Equal
397.61725,417.625,373.932,17400,Equal
398.9064,418.428,375.34,17500,Equal
400.26065,419.709,376.652,17600,Equal
401.59515,420.81,378.022,17700,Equal
403.04485,422.197,379.746,17800,Equal
404.47695,423.096,381.646,17900,Equal
405.9771,424.256,382.989,18000,Equal
407.37075,425.121,384.84,18100,Equal
408.8067,426.488,386.344,18200,Equal
410.20005,428.141,387.897,18300,Equal
411.71735,429.638,389.802,18400,Equal
413.07955,430.911,391.403,18500,Equal
414.4724,432.957,393.82,18600,Equal
415.8448,433.957,395.519,18700,Equal
417.13165,435.044,396.432,18800,Equal
418.4731,437.112,397.633,18900,Equal
419.9072,439.133,399.446,19000,Equal
421.4593,441.109,400.96,19100,Equal
422.9402,443.329,402.194,19200,Equal
424.47355,445.38,403.428,19300,Equal
425.85185,446.788,404.413,19400,Equal
427.11005,447.714,405.657,19500,Equal
428.45015,449.445,407.03,19600,Equal
429.8385,451.052,408.049,19700,Equal
431.1171,452.57,408.841,19800,Equal
432.5283,454.368,409.733,19900,Equal
433.876,455.996,410.508,20000,Equal
435.1523,457.4,411.041,20100,Equal
436.5792,458.551,412.149,20200,Equal
437.92485,459.996,413.234,20300,Equal
439.2072,461.52,414.423,20400,Equal
440.5629,462.851,415.923,20500,Equal
441.8569,464.07,417.037,20600,Equal
443.17285,465.745,418.485,20700,Equal
444.52375,467.465,419.993,20800,Equal
445.83275,468.56,421.44,20900,Equal
447.08645,469.891,422.241,21000,Equal
448.3948,471.095,423.787,21100,Equal
449.73705,472.665,425.067,21200,Equal
451.05285,474.16,426.691,21300,Equal
452.33005,475.824,427.909,21400,Equal
453.52425,477.557,428.837,21500,Equal
454.8441,479.14,429.804,21600,Equal
456.1989,480.37,430.732,21700,Equal
457.3446,481.317,431.452,21800,Equal
458.6013,482.541,432.117,21900,Equal
459.8319,484.105,433.062,22000,Equal
461.09465,485.195,433.88,22100,Equal
462.38895,485.751,434.644,22200,Equal
463.68345,486.44,435.476,22300,Equal
465.1532,487.543,436.214,22400,Equal
466.51175,488.875,437.044,22500,Equal
467.9626,489.775,438.743,22600,Equal
469.38735,491.423,440.366,22700,Equal
470.71605,492.787,442.352,22800,Equal
472.0156,494.058,443.66,22900,Equal
473.4295,495.053,445.156,23000,Equal
474.80825,495.861,446.96,23100,Equal
476.07325,496.659,448.146,23200,Equal
477.41675,497.608,449.569,23300,Equal
478.71695,498.488,451.343,23400,Equal
480.07525,499.353,453.145,23500,Equal
481.4092,500.098,454.498,23600,Equal
482.85275,500.973,456.685,23700,Equal
484.15825,501.442,458.858,23800,Equal
485.40275,502.236,461.467,23900,Equal
486.9757,503.356,464.681,24000,Equal
488.4331,504.973,466.268,24100,Equal
489.79735,507.22,467.746,24200,Equal
491.19455,509.256,469.15,24300,Equal
492.4523,511.211,470.333,24400,Equal
493.71955,512.577,471.374,24500,Equal
495.08835,514.182,472.704,24600,Equal
496.42865,515.649,473.999,24700,Equal
497.7375,516.525,475.511,24800,Equal
499.05375,517.181,476.931,24900,Equal
500.4019,517.894,477.95,25000,Equal
501.6694,518.661,478.831,25100,Equal
503.02515,519.253,480.151,25200,Equal
504.3348,520.548,480.817,25300,Equal
505.60265,522.188,481.697,25400,Equal
506.8798,524.655,482.505,25500,Equal
508.24315,526.251,484.035,25600,Equal
509.48395,527.894,485.648,25700,Equal
510.76155,529.069,486.699,25800,Equal
511.971,530.135,487.847,25900,Equal
513.2181,531.961,489.116,26000,Equal
514.47955,533.031,490.539,26100,Equal
515.7125,533.979,491.409,26200,Equal
516.91965,535.015,492.177,26300,Equal
518.14315,536.797,494.255,26400,Equal
519.38975,539.129,494.859,26500,Equal
520.54085,541.043,495.963,26600,Equal
521.70085,542.421,496.834,26700,Equal
522.95335,543.506,498.25,26800,Equal
524.36345,544.432,499.933,26900,Equal
525.74225,545.386,501.312,27000,Equal
527.10445,546.192,503.268,27100,Equal
528.5627,547.566,504.846,27200,Equal
529.839,548.734,506.279,27300,Equal
531.0175,549.411,507.269,27400,Equal
532.2653,550.827,508.168,27500,Equal
533.5333,552.115,509.345,27600,Equal
534.6576,553.532,510.428,27700,Equal
535.8941,554.677,511.7,27800,Equal
