Mean,Max,Min,Generation,Model
5.394662,9.47645,2.49784,14200,Equal
5.1041875,7.7633,3.10939,14300,Equal
4.812454,7.45141,2.72618,14400,Equal
4.6251635,7.89038,2.5419,14500,Equal
4.9697395,8.08914,2.72891,14600,Equal
5.345359,8.27223,3.14989,14700,Equal
5.4678855,8.62107,3.17307,14800,Equal
5.320162,7.47794,3.59736,14900,Equal
5.0008705,7.1091,2.66166,15000,Equal
4.9659665,8.20015,2.75109,15100,Equal
4.848244,8.84733,2.85002,15200,Equal
5.2443145,9.59969,3.19511,15300,Equal
5.4484085,8.1561,3.27688,15400,Equal
5.36355,8.10467,3.44152,15500,Equal
6.0771935,11.2584,3.74012,15600,Equal
6.032736,11.2858,3.35352,15700,Equal
5.5089355,11.5297,2.60323,15800,Equal
5.561631,10.6738,2.77306,15900,Equal
5.1624,7.13283,2.91238,16000,Equal
4.8053955,6.71565,2.9136,16100,Equal
4.866215,6.54096,2.8326,16200,Equal
5.386249,8.60501,3.0768,16300,Equal
5.6502935,8.19666,2.95083,16400,Equal
5.871988,8.5316,2.44685,16500,Equal
6.0410785,8.72609,3.19691,16600,Equal
6.2078455,13.0286,3.33325,16700,Equal
5.6260825,9.57328,2.55049,16800,Equal
5.3230335,8.1603,3.28991,16900,Equal
5.4128885,9.5329,3.03095,17000,Equal
5.0364115,7.63206,2.57712,17100,Equal
4.924866,9.0027,2.50613,17200,Equal
4.6279115,7.80246,2.8918,17300,Equal
4.631472,7.36448,2.63494,17400,Equal
4.7618725,7.55358,2.13758,17500,Equal
5.044046,7.71581,2.90885,17600,Equal
5.1264085,10.4578,3.02365,17700,Equal
5.1632885,8.83367,3.57736,17800,Equal
5.710611,8.62954,2.52631,17900,Equal
5.3634205,8.64542,2.89176,18000,Equal
5.5876295,8.53254,2.35279,18100,Equal
5.860249,8.76175,2.97258,18200,Equal
5.5728355,7.54648,3.26986,18300,Equal
5.684013,9.84259,2.68505,18400,Equal
5.7165575,9.86743,2.11736,18500,Equal
5.4342735,7.94358,1.97937,18600,Equal
4.956513,7.21388,2.56706,18700,Equal
4.837093,7.56942,2.22692,18800,Equal
5.025994,8.85231,2.6277,18900,Equal
5.5724125,9.71557,3.10712,19000,Equal
5.973033,9.55545,2.99706,19100,Equal
6.1210955,9.62056,2.51806,19200,Equal
5.664169,8.24511,2.99607,19300,Equal
5.33479,8.87391,3.42128,19400,Equal
5.147445,7.47623,3.38725,19500,Equal
5.286887,7.87136,2.61457,19600,Equal
5.343732,8.79569,2.75933,19700,Equal
5.30696,7.52892,2.27618,19800,Equal
5.236924,6.5858,2.53146,19900,Equal
5.3053685,9.97662,2.75834,20000,Equal
5.3126065,12.1796,2.75423,20100,Equal
5.490249,10.1746,3.1937,20200,Equal
5.759505,9.9146,2.8705,20300,Equal
5.6049225,8.21519,2.89559,20400,Equal
5.072544,8.27575,2.86088,20500,Equal
5.0986355,8.30886,3.28254,20600,Equal
4.8808235,6.18316,3.67885,20700,Equal
4.8638515,7.05213,3.14549,20800,Equal
5.1356415,8.32984,2.89208,20900,Equal
5.3554525,8.7606,3.42054,21000,Equal
5.0775035,7.61702,3.12955,21100,Equal
5.080717,8.76835,2.24034,21200,Equal
5.739911,9.92394,2.52024,21300,Equal
5.4772435,10.289,2.58754,21400,Equal
5.124501,8.43466,2.99797,21500,Equal
5.159539,11.5397,3.3404,21600,Equal
5.153777,12.7666,2.48519,21700,Equal
4.863555,8.55557,2.86989,21800,Equal
4.62582,8.246,3.08193,21900,Equal
4.770872,7.04306,3.22359,22000,Equal
5.146328,9.18685,2.49508,22100,Equal
5.3433835,11.6179,2.70242,22200,Equal
5.6214995,9.70465,2.7434,22300,Equal
5.6752055,9.99916,2.6764,22400,Equal
5.6819775,8.7782,3.64766,22500,Equal
6.1105115,9.67695,3.52409,22600,Equal
6.4653315,9.08547,4.39279,22700,Equal
6.144279,7.909,4.7644,22800,Equal
5.541965,8.08394,3.09821,22900,Equal
5.648366,9.116,3.12431,23000,Equal
5.520009,9.84377,2.19181,23100,Equal
5.9124305,9.60834,2.32738,23200,Equal
5.775467,8.7519,2.30523,23300,Equal
5.532016,8.90145,3.38705,23400,Equal
5.717564,8.26439,3.39105,23500,Equal
6.0080115,9.77839,3.0393,23600,Equal
5.9961285,9.65711,3.08754,23700,Equal
5.6574075,9.18878,3.19339,23800,Equal
5.767304,13.9101,2.67773,23900,Equal
6.1349765,12.8649,3.02771,24000,Equal
6.301167,11.7781,3.04456,24100,Equal
6.0658735,10.8989,3.43611,24200,Equal
5.6358465,9.59956,2.95608,24300,Equal
5.569321,8.8152,3.33858,24400,Equal
5.5842805,8.86019,3.69562,24500,Equal
5.4731295,8.66493,3.64019,24600,Equal
5.6850905,6.96354,3.26717,24700,Equal
5.8510115,9.09294,2.14968,24800,Equal
5.6747495,9.37939,2.64611,24900,Equal
5.7880665,8.48973,2.60967,25000,Equal
5.8051265,8.73875,2.95978,25100,Equal
6.228758,9.0141,3.3081,25200,Equal
6.2849275,11.8603,2.44496,25300,Equal
5.7747165,11.619,1.97638,25400,Equal
5.976366,9.34765,2.26213,25500,Equal
6.1845315,12.6046,2.15947,25600,Equal
5.7163125,11.5305,1.78982,25700,Equal
5.4128565,10.0421,2.12582,25800,Equal
5.4063485,9.91702,2.45978,25900,Equal
5.2481445,8.7598,3.34129,26000,Equal
5.481606,8.32482,3.32846,26100,Equal
5.656702,9.18074,2.93015,26200,Equal
5.4284295,8.83322,2.8592,26300,Equal
5.7027015,9.89313,3.02868,26400,Equal
5.310421,9.60422,3.53225,26500,Equal
5.0971485,9.41286,2.39117,26600,Equal
5.1481925,9.56594,2.19403,26700,Equal
5.79893,10.6449,2.20006,26800,Equal
6.2182925,11.2174,2.3016,26900,Equal
6.5715485,10.5573,2.67107,27000,Equal
6.825448,10.4407,3.56289,27100,Equal
6.5705045,10.3753,4.07561,27200,Equal
5.7728695,8.53288,3.97984,27300,Equal
5.566386,8.05252,3.38668,27400,Equal
5.9578405,10.7031,3.14187,27500,Equal
5.6888145,9.59913,2.68286,27600,Equal
5.6460185,8.91859,3.75446,27700,Equal
5.8339475,9.05594,3.24632,27800,Equal
5.7977345,8.41183,2.78555,27900,Equal
5.813365,8.58763,3.70538,28000,Equal
5.8358585,7.58324,2.84308,28100,Equal
5.4890965,7.20565,2.7571,28200,Equal
5.5928325,7.33787,3.0791,28300,Equal
5.8546805,8.74167,3.21668,28400,Equal
5.6265345,8.83503,3.0232,28500,Equal
5.512016,8.60204,3.25144,28600,Equal
5.7582705,9.05543,2.80584,28700,Equal
6.0097295,8.86455,3.60079,28800,Equal
6.0068065,10.0712,3.6987,28900,Equal
6.0696105,11.6078,2.99381,29000,Equal
6.188329,10.6526,3.75632,29100,Equal
6.225106,11.1447,3.56756,29200,Equal
6.1109795,9.66344,2.79361,29300,Equal
5.58754,8.61282,2.91012,29400,Equal
5.262584,7.56556,3.07231,29500,Equal
5.3822115,7.15125,2.98361,29600,Equal
5.4180195,7.19822,3.30182,29700,Equal
5.6121435,9.062,2.47842,29800,Equal
6.041819,8.51111,2.83963,29900,Equal
6.083937,9.56969,3.4458,30000,Equal
5.6981415,8.67318,3.15593,30100,Equal
5.731536,11.6128,3.00644,30200,Equal
5.510124,11.6604,1.93005,30300,Equal
5.565056,10.1684,2.63659,30400,Equal
5.619167,10.2152,2.55303,30500,Equal
5.832039,10.4148,3.24343,30600,Equal
6.2347395,13.329,2.9447,30700,Equal
6.539845,13.8365,3.15402,30800,Equal
6.724182,12.1992,2.55573,30900,Equal
6.467346,10.442,2.57421,31000,Equal
6.1044145,9.7477,3.0105,31100,Equal
6.143584,10.691,2.36562,31200,Equal
5.755614,8.52403,3.07909,31300,Equal
5.7161625,8.46474,2.56858,31400,Equal
5.522194,8.03156,2.92922,31500,Equal
6.055675,8.71116,3.35881,31600,Equal
6.6665305,11.754,3.66739,31700,Equal
6.5238365,10.5489,2.45874,31800,Equal
6.791803,10.5311,2.84413,31900,Equal
6.7758985,10.3651,3.23025,32000,Equal
6.758238,12.6175,2.78038,32100,Equal
6.7385455,11.359,3.24399,32200,Equal
6.5032975,8.72534,3.35804,32300,Equal
6.2971925,10.3795,3.1845,32400,Equal
5.9859695,10.6914,3.21143,32500,Equal
5.7046695,8.87073,3.45242,32600,Equal
5.480142,9.48088,3.08133,32700,Equal
5.4489925,7.48505,2.60456,32800,Equal
5.712942,11.5813,2.43646,32900,Equal
5.952852,10.7445,3.05246,33000,Equal
5.858572,10.8974,2.17819,33100,Equal
6.433816,13.4285,2.40308,33200,Equal
6.621477,11.435,3.42184,33300,Equal
6.342194,11.78,3.19616,33400,Equal
6.3971555,9.46014,4.17664,33500,Equal
6.2661215,8.48891,3.92881,33600,Equal
6.033245,7.88581,4.11269,33700,Equal
5.834172,7.3905,3.29969,33800,Equal
6.0888355,9.11838,3.83324,33900,Equal
6.2893235,9.22353,3.18478,34000,Equal
5.7767435,7.97266,2.7122,34100,Equal
5.6321505,11.665,2.3316,34200,Equal
5.452365,10.5369,3.19586,34300,Equal
5.835658,10.3276,3.93962,34400,Equal
6.028981,8.94235,3.60136,34500,Equal
5.706104,7.76855,3.48844,34600,Equal
5.5636915,8.94024,3.25528,34700,Equal
5.4837585,9.05988,2.46907,34800,Equal
5.6601055,7.6437,1.70327,34900,Equal
5.447821,7.62533,1.40462,35000,Equal
5.553839,8.45301,1.90889,35100,Equal
5.933625,10.3119,2.86042,35200,Equal
6.6051505,11.9548,2.88683,35300,Equal
6.07623,11.269,2.48749,35400,Equal
5.870178,10.765,2.90929,35500,Equal
5.9474765,11.8537,3.35104,35600,Equal
5.839604,9.98212,2.81056,35700,Equal
6.0916565,9.29271,3.48247,35800,Equal
5.923098,9.48398,3.28792,35900,Equal
5.644387,9.22794,2.9017,36000,Equal
5.660416,9.45945,3.2462,36100,Equal
6.203484,8.75133,3.83717,36200,Equal
6.5167135,9.30056,3.52318,36300,Equal
6.4524585,9.13345,3.81965,36400,Equal
6.421046,9.62344,3.64416,36500,Equal
6.4063485,10.8892,2.63294,36600,Equal
6.380407,11.0464,2.91197,36700,Equal
6.0800825,9.87338,2.99765,36800,Equal
6.358953,12.9393,4.14872,36900,Equal
6.650079,10.6722,3.61911,37000,Equal
6.528902,10.9451,3.70391,37100,Equal
6.390363,8.88572,4.10769,37200,Equal
5.950601,8.48026,4.25116,37300,Equal
5.79501,8.30379,4.33143,37400,Equal
5.7279815,9.75262,3.25023,37500,Equal
5.556313,11.5434,2.46258,37600,Equal
5.8205145,11.0534,2.78864,37700,Equal
5.8563265,12.1261,2.8375,37800,Equal
5.629606,7.73556,3.52909,37900,Equal
6.0454965,8.92956,3.23697,38000,Equal
5.9023935,7.73516,3.48483,38100,Equal
5.9713625,7.87042,3.82248,38200,Equal
6.0047875,7.46962,3.63176,38300,Equal
6.188383,9.33794,3.62327,38400,Equal
6.17767,10.9414,3.38837,38500,Equal
6.3663955,12.2489,3.52762,38600,Equal
6.3453025,9.68272,3.52175,38700,Equal
5.858512,7.96549,3.79665,38800,Equal
5.986866,9.13948,2.5694,38900,Equal
5.9816245,8.7146,3.03742,39000,Equal
6.6039035,9.67524,2.74654,39100,Equal
6.0665555,8.63583,3.665,39200,Equal
6.005775,8.69912,3.80412,39300,Equal
5.876504,8.92731,3.54115,39400,Equal
5.8800675,8.34867,3.68842,39500,Equal
6.014789,8.80985,3.30096,39600,Equal
5.975911,10.2659,2.69244,39700,Equal
6.180985,11.191,2.33747,39800,Equal
6.305544,12.1426,3.99861,39900,Equal
6.5376395,10.685,4.05194,40000,Equal
